Add New Category,Pridať novú kategóriu
Are you sure you want to do this?,Naozaj to chcete urobiť?
Start Import,Spustiť import
NOTICE,OZNAM
Database Name,Názov databázy
User Name,Používateľské meno
Database Host,Database Host
Table Prefix,Table Prefix
Post,Článok
Add New Post,Pridať nový článok
Blog,Blog
Go to Blog Home Page,Prejdite na domovskú stránku blogu
Monthly Archives: %s %s,Mesačné archívy: %s %s
"Search ""%1""","Hľadať ""%1"""
Recent Blog Posts,Najnovšie blogové príspevky
Manage %1,Spravovať %1
Edit %1,Editovať %1
New %1,Nový %1
Create %1,Vytvoriť %1
%1 has been saved.,%1 bol uložený.
Something went wrong while saving this %1. %2,Pri ukladaní sa niečo pokazilo %1. %2
We can't delete %1 right now. %2,Nedokážeme teraz zmazať %1. %2
%1 have been deleted.,%1 bol zmazaný.
"Parameter ""Status"" missing in request data.","V údajoch požiadavky chýba parameter ""Status""."
Status Field Name is not specified.,Nie je zadaný názov statusu.
We can't change status of %1 right now. %2,Nedokážeme teraz zmeniť %1. %2
%1 status have been changed.,%1 stav bol zmenený.
Blog Import,Import blogu
Blog import type is not specified.,Typ importu blogu nie je zadaný.
The import process was completed successfully. %1 posts and %2 categories where imported.,Proces importu bol úspešne dokončený. Články %1 a kategórie %2 boli naimportované.
The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4,Proces importu bol dokončený. Články %1 a kategórie %2 boli naimportované. Niektoré články alebo kategórie boli preskočené.<br/> %3 %4
Nothing to import.,Nič na import.
Can not make import.,Nie je možné vykonať import.
Something went wrong: ,Niečo sa pokazilo:
"Please enter your name and email","Please enter your name and email"
Blog Import from WordPress,Import blogu z WordPress
"Comment text is too short.","Comment text is too short."
Please select,Prosím vyber
Use Facebook Comments,Použite komentáre na Facebooku
Use Disqus Comments,Použite komentáre Disqus
Use Google Comments,Použite Google Comments
"Featured Blog Posts","Featured Blog Posts"
Yes (With auto trigger),Áno (s automatickým spúšťaním)
Yes (Without auto trigger),Áno (bez automatického spúšťania)
Parameter %1 is required,Parameter %1 je povinný
AheadWorks Blog Extension not detected.,AheadWorks Blog Extension sa nenašiel.
The category URL key contains disallowed symbols.,URL kategórie obsahuje nepovolené symboly.
The category URL key cannot be made of only numbers.,URL kategórie nemôže byť tvorený iba číslami.
The post URL key contains disallowed symbols.,URL článku obsahuje nepovolené symboly.
The post URL key cannot be made of only numbers.,URL článku nemôže pozostávať iba z čísel.
The tag is already exist.,Tag už existuje.
The tag URL key contains disallowed symbols.,URL tagu obsahuje nepovolené symboly.
The tag URL key cannot be made of only numbers.,URL tagu nemôže pozostávať iba z čísel.
Related posts,Súvisiace články
Posted:,Uverejnené:
Categories:,Kategórie:
Tags:,Tagy:
Author:,Autor:
We can't find posts matching the selection.,Nemôžeme nájsť príspevky zodpovedajúce výberu.
"Read more","Read more"
Read more &#187;,Čítaj viac &#187;
See more,Pozri viac
Read %1,Čítaj %1
&larr; Previous,&larr; Predchádzajúce
Previous,Predchádzajúce
Next &rarr;,Ďalšie &rarr;
Next,Ďalšie
Related Posts,Súvisiace príspevky
Archive,Archív
Archive %s,Archív %s
Recent Posts,Posledné články
RSS Feed,RSS zdroj
Search posts here...,Hľadať príspevky tu...
Tags,Tagy
"Read more >","Read more >"
MageFan Extensions,Rozšírenia MageFan
Blog Information,Informácie o blogu
Blog Index Page,Indexová stránka blogu
Post View,Zobrazenie príspevku
