"Add New Category","Nieuwe Categorie Toevoegen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Start Import","Start Importeren"
NOTICE,"LET OP"
"Database Name","Database Naam"
"User Name","Gebruikers Naam"
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Post,Plaats
"Add New Post","Voeg Nieuw Bericht Toe"
Blog,Blog
"Go to Blog Home Page","Ga naar Blog Home Pagina"
"Monthly Archives: %s %s","Maandelijkse Archieven: %s %s"
"Search ""%1""","Zoeken ""%1"""
"Recent Blog Posts","Recente Blog Berichten"
"Manage %1","Beheer %1"
"Edit %1","Bewerk %1"
"New %1","Nieuw %1"
"Create %1","Maak %1"
"%1 has been saved.","%1 is opgeslagen."
"Something went wrong while saving this %1. %2","Er is iets fout gegaan tijdens het opslaan %1. %2"
"We can't delete %1 right now. %2","Op dit moment kun je %1 niet verwijderen. %2"
"%1 have been deleted.","%1 is verwijderd."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" ontbrekende gegevens in het verzoek."
"Status Field Name is not specified.","Status Veldnaam is niet gespecificeerd."
"We can't change status of %1 right now. %2","we kunnen de status van %1 nu direct. %2"
"%1 status have been changed.","%1 Status is veranderd."
"Blog Import","Blog Import"
"Blog import type is not specified.","Blog import type zijn niet gespecificeerd."
"The import process was completed successfully. %1 posts and %2 categories where imported.","Het importeer proces is compleet geluk. %1 berichten en %2 categorien zijn geïmporteerd."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Het importeer proces is compleet. %1 berichten en %2 categorien zijn geimpoteerd. Sommige berichten of categorien zijn overgeslaan.<br/> %3 %4"
"Nothing to import.","Niets om te Importeren."
"Can not make import.","Kan niet Importeren."
"Something went wrong: ","Er is iets mis gegaan: "
"Blog Import from WordPress (beta)","Blog Importeren vanaf WordPress (beta)"
"Please select","Selecteer"
"Use Facebook Comments","Gebruik Facebook Comments"
"Use Disqus Comments","Gebruik Disqus Comments"
"Use Google Comments (beta)","Gebruik Google Comments (beta)"
"Yes (With auto trigger)","Ja (Met auto trigger)"
"Yes (Without auto trigger)","Ja (Zonder auto trigger)"
"Parameter %1 is required","Parameter %1 is verplicht"
"AheadWorks Blog Extension not detected.","AheadWorks Blog Extensie niet gedetecteerd."
"The category URL key contains capital letters or disallowed symbols.","De URL key bevat hoofdletters of niet toegestane symbolen."
"The category URL key cannot be made of only numbers.","De categorie URL key mag niet alleen uit nummers bestaan."
"The post URL key contains capital letters or disallowed symbols.","De bericht URL key bevat hoofdletters of niet toegestane symbolen."
"The post URL key cannot be made of only numbers.","De bericht URL key mag niet alleen uit nummers bestaan."
"The tag is already exist.","Deze tag bestaat al."
"The tag URL key contains capital letters or disallowed symbols.","De tag URL key bevat hoofdletters of niet toegestane symbolen."
"The tag URL key cannot be made of only numbers.","De tag URL key mag niet alleen uit nummers bestaan."
"Related posts","Gerelateerde berichten"
Posted:,Geplaatst:
Categories:,Categorien:
Tags:,Tags:
Author:,Auteur:
"We can't find posts matching the selection.","We kunnen geen berichten vinden die overeen komen met deze selectie."
"Read more &#187;","Lees meer &#187;"
"See more","Bekijk meer"
"Read %1","Lees %1"
"&larr; Previous","&larr; Vorige"
"Next &rarr;","Volgende &rarr;"
"Related Posts","Gerelateerde Berichten"
Archive,Archief
"Archive %s","Archief %s"
"Recent Posts","Recente Berichten"
"RSS Feed","RSS Feed"
"Search posts here...","Zoek Bericht Hier…"
Tags,Tags
"MageFan Extensions","MageFan Extensions"
"Blog Information","Blog Informatie"
"Blog Index Page","Blog Index Pagina"
"Post View","Bericht Bekijken"
"Display Related Posts","Toon Gerelateerde Berichten"
"Number of Posts","Aantal berichten"
