Add New Category,Přidat novou kategorii
Are you sure you want to do this?,Opravdu to chcete udělat?
Start Import,Spusťte import
NOTICE,OZNÁMENÍ
Database Name,Jméno databáze
User Name,Uživatelské jméno
Database Host,Hostitel databáze
Table Prefix,Předpona tabulky
Post,Pošta
Add New Post,Přidat nový příspěvek
Blog,Blog
Go to Blog Home Page,Přejděte na domovskou stránku blogu
Monthly Archives: %s %s,Měsíční archivy: %s %s
"Search ""%1""","Hledat ""%1"""
Recent Blog Posts,Nedávné příspěvky na blogu
Manage %1,Spravovat %1
Edit %1,Upravit %1
New %1,Nové %1
Create %1,Vytvořit %1
%1 has been saved.,%1 bylo uloženo.
Something went wrong while saving this %1. %2,Při ukládání tohoto %1 se něco pokazilo. %2
We can't delete %1 right now. %2,Momentálně nemůžeme smazat %1. %2
%1 have been deleted.,%1 byly smazány.
"Parameter ""Status"" missing in request data.","V datech požadavku chybí parametr ""Stav""."
Status Field Name is not specified.,Název pole stavu není zadán.
We can't change status of %1 right now. %2,Momentálně nemůžeme změnit stav %1. %2
%1 status have been changed.,Stav %1 byl změněn.
Blog Import,Import blogu
Blog import type is not specified.,Typ importu blogu není zadán.
The import process was completed successfully. %1 posts and %2 categories where imported.,Proces importu byl úspěšně dokončen. Počet importovaných příspěvků: %1 a %2 kategorií.
The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4,Proces importu byl dokončen. Počet importovaných příspěvků: %1 a %2 kategorií. Některé příspěvky nebo kategorie byly přeskočeny.<br/> %3 %4
Nothing to import.,Nic k importu.
Can not make import.,Nelze provést import.
Something went wrong: ,Něco se pokazilo:
Please enter your name and email,Please enter your name and email
Blog Import from WordPress,Import blogu z WordPressu
Comment text is too short.,Comment text is too short.
Please select,Prosím vyberte
Use Facebook Comments,Použít Facebook Komentáře
Use Disqus Comments,Použít Disqus Comments
Use Google Comments,Použít Google Comments
Featured Blog Posts,Featured Blog Posts
Yes (With auto trigger),Ano (s automatickým spouštěním)
Yes (Without auto trigger),Ano (bez automatického spouštění)
Parameter %1 is required,Parametr %1 je povinný
AheadWorks Blog Extension not detected.,Nebylo zjištěno rozšíření blogu AheadWorks.
The category URL key contains disallowed symbols.,URL kategorie obsahuje nepovolené symboly.
The category URL key cannot be made of only numbers.,URL kategorie nemůže být tvořen pouze čísly.
The post URL key contains disallowed symbols.,URL příspěvku obsahuje nepovolené symboly.
The post URL key cannot be made of only numbers.,URL příspěvku nemůže být tvořen pouze čísly.
The tag is already exist.,Tag již existuje.
The tag URL key contains disallowed symbols.,URL tagu obsahuje nepovolené symboly.
The tag URL key cannot be made of only numbers.,URL tagu nemůže být tvořen pouze čísly.
Related posts,Související příspěvky
Posted:,Zveřejněn:
Categories:,Kategorie:
Tags:,Tagy:
Author:,Autor:
We can't find posts matching the selection.,Nemůžeme najít příspěvky odpovídající výběru.
Read more,Read more
Read more &#187;,Číst více &#187;
See more,Vidět víc
Read %1,Číst %1
&larr; Previous,&larr; Předchozí
Previous,Předchozí
Next &rarr;,Další &rarr;
Next,Další
Related Posts,Související příspěvky
Archive,Archiv
Archive %s,Archivovat %s
Recent Posts,Poslední příspěvky
RSS Feed,RSS kanál
Search posts here...,Hledat příspěvky zde...
Tags,Tagy
Read more >,Read more >
MageFan Extensions,Rozšíření MageFan
Blog Information,Informace o blogu
Blog Index Page,Stránka indexu blogu
Post View,Zobrazení příspěvku
Display Related Posts,Zobrazit související příspěvky
Number of Posts,Počet příspěvků
Display Related Products,Zobrazit související produkty
Number of Products,Počet produktů
Comments,Komentáře
Number of Comments,Počet komentářů
Facebook Application ID,ID aplikace Facebook
Preview and Next Post,Náhled a další příspěvek
Display Prev. & Next Post Links,Zobrazit odkazy na předchozí a další příspěvky
Post List,Seznam příspěvků
Posts Per Page,Počet příspěvků na stránku
Use Lazy Loading,Použijte líné načítání
Automatically load more posts on page.,Automaticky načíst více příspěvků na stránku.
